exp_id,dataset,noise_model,noise_level,uq_method,coverage,mean_width,rmse,mae,r2
ExponentialDecay_homoskedastic_noise01,ExponentialDecay,homoskedastic,0.01,Nlinfit,0.97,0.02193172346434597,0.0051189987729851625,0.0041552869675879995,0.9999012433992572
ExponentialDecay_homoskedastic_noise01,ExponentialDecay,homoskedastic,0.01,Conformal,0.958,0.023073829509443276,0.005798465065092408,0.0046880831265402835,0.9998732867086265
ExponentialDecay_homoskedastic_noise02,ExponentialDecay,homoskedastic,0.02,Nlinfit,0.918,0.03417993785563369,0.009926035309164217,0.007929189235335116,0.999628363243686
ExponentialDecay_homoskedastic_noise02,ExponentialDecay,homoskedastic,0.02,Conformal,0.974,0.043874214090091644,0.009902159195094875,0.00795990660642622,0.9996301489656685
ExponentialDecay_homoskedastic_noise05,ExponentialDecay,homoskedastic,0.05,Nlinfit,0.864,0.08583854087693626,0.02767043513097077,0.021933319645627312,0.9971152784580156
ExponentialDecay_homoskedastic_noise05,ExponentialDecay,homoskedastic,0.05,Conformal,0.914,0.09791825653039851,0.02757711186377783,0.02174969059416431,0.9971347040765038
ExponentialDecay_homoskedastic_noise10,ExponentialDecay,homoskedastic,0.1,Nlinfit,0.864,0.1600331570825718,0.054820764420405954,0.043818044839759346,0.9889207939462101
ExponentialDecay_homoskedastic_noise10,ExponentialDecay,homoskedastic,0.1,Conformal,0.76,0.13726800530994598,0.05965880253497506,0.047274279994236126,0.9868789820544736
ExponentialDecay_heteroskedastic_noise01,ExponentialDecay,heteroskedastic,0.01,Nlinfit,0.962,0.05633279971081326,0.013001522789810248,0.009543921983044993,0.9993644365470639
ExponentialDecay_heteroskedastic_noise01,ExponentialDecay,heteroskedastic,0.01,Conformal,0.878,0.03956449619502678,0.014086809417047125,0.010555682882170845,0.9992539022149763
ExponentialDecay_heteroskedastic_noise02,ExponentialDecay,heteroskedastic,0.02,Nlinfit,0.958,0.11922392964897904,0.02993620038254094,0.020105896252564537,0.996616747696431
ExponentialDecay_heteroskedastic_noise02,ExponentialDecay,heteroskedastic,0.02,Conformal,0.768,0.05588758714377367,0.030968785072488198,0.020791077529529155,0.9963793264628457
ExponentialDecay_heteroskedastic_noise05,ExponentialDecay,heteroskedastic,0.05,Nlinfit,0.94,0.2324032420017028,0.06273935325712847,0.046155002706764627,0.9853522051425256
ExponentialDecay_heteroskedastic_noise05,ExponentialDecay,heteroskedastic,0.05,Conformal,0.854,0.1718256288687328,0.06503511728107043,0.04717492357990689,0.984260605185228
ExponentialDecay_heteroskedastic_noise10,ExponentialDecay,heteroskedastic,0.1,Nlinfit,0.946,0.5132743857042169,0.13361573754614764,0.09418936333185854,0.9376319362962552
ExponentialDecay_heteroskedastic_noise10,ExponentialDecay,heteroskedastic,0.1,Conformal,0.792,0.300426344555307,0.1405699340412954,0.09947339213252061,0.9309709468139118
LogisticGrowth_homoskedastic_noise01,LogisticGrowth,homoskedastic,0.01,Nlinfit,0.97,0.018509889151618174,0.004197354853977972,0.0033325653731186345,0.9998837229134595
LogisticGrowth_homoskedastic_noise01,LogisticGrowth,homoskedastic,0.01,Conformal,0.766,0.00975207326514238,0.004178637495411951,0.0033104881801569366,0.9998847576352606
LogisticGrowth_homoskedastic_noise02,LogisticGrowth,homoskedastic,0.02,Nlinfit,0.968,0.03457478492408279,0.007957182451274542,0.0063602191592333854,0.9995820202335215
LogisticGrowth_homoskedastic_noise02,LogisticGrowth,homoskedastic,0.02,Conformal,0.936,0.02986554370244465,0.007950820851562942,0.006348121468800636,0.9995826882983957
LogisticGrowth_homoskedastic_noise05,LogisticGrowth,homoskedastic,0.05,Nlinfit,0.99,0.10201258042400335,0.019845827342859865,0.01590319951343978,0.9974155037634583
LogisticGrowth_homoskedastic_noise05,LogisticGrowth,homoskedastic,0.05,Conformal,0.96,0.0810445987125481,0.019324681066519966,0.015524143808815363,0.997549457963193
LogisticGrowth_homoskedastic_noise10,LogisticGrowth,homoskedastic,0.1,Nlinfit,0.952,0.1560561782378432,0.038679859692073874,0.030612925959831738,0.9902126521652963
LogisticGrowth_homoskedastic_noise10,LogisticGrowth,homoskedastic,0.1,Conformal,0.934,0.15107790389190767,0.041884129252642635,0.03304568914789362,0.9885239026073829
LogisticGrowth_heteroskedastic_noise01,LogisticGrowth,heteroskedastic,0.01,Nlinfit,0.956,0.028430597408326656,0.006116737929505989,0.003975611503161527,0.999753364150662
LogisticGrowth_heteroskedastic_noise01,LogisticGrowth,heteroskedastic,0.01,Conformal,0.952,0.04396584379155711,0.010073599878799602,0.00690770665853739,0.9993310620278685
LogisticGrowth_heteroskedastic_noise02,LogisticGrowth,heteroskedastic,0.02,Nlinfit,0.92,0.05750085822613816,0.01442845309417006,0.009309437451024078,0.9986269631102181
LogisticGrowth_heteroskedastic_noise02,LogisticGrowth,heteroskedastic,0.02,Conformal,0.984,0.08773313582041609,0.013692651337346276,0.008507795140064936,0.9987634326903834
LogisticGrowth_heteroskedastic_noise05,LogisticGrowth,heteroskedastic,0.05,Nlinfit,0.854,0.1072873410389741,0.0372608722912197,0.023448351488131826,0.9909685276049325
LogisticGrowth_heteroskedastic_noise05,LogisticGrowth,heteroskedastic,0.05,Conformal,0.924,0.15993246590452942,0.040491039070027844,0.02573087590428588,0.9893347665332252
LogisticGrowth_heteroskedastic_noise10,LogisticGrowth,heteroskedastic,0.1,Nlinfit,0.914,0.244318643075468,0.06593471409991204,0.043116848157941985,0.9722740212013291
LogisticGrowth_heteroskedastic_noise10,LogisticGrowth,heteroskedastic,0.1,Conformal,0.958,0.3282705765578287,0.06642123308021641,0.04278715743055855,0.9718633427834894
MichaelisMenten_homoskedastic_noise01,MichaelisMenten,homoskedastic,0.01,Nlinfit,0.736,0.004360780074975883,0.0019930692185225673,0.0015840831469200603,0.9998943568108597
MichaelisMenten_homoskedastic_noise01,MichaelisMenten,homoskedastic,0.01,Conformal,0.604,0.0033167709271546553,0.0019845214401212814,0.0015792217954558718,0.9998952610224742
MichaelisMenten_homoskedastic_noise02,MichaelisMenten,homoskedastic,0.02,Nlinfit,0.832,0.01094361553955511,0.0040069849089389604,0.0031986275132409574,0.9995725353691379
MichaelisMenten_homoskedastic_noise02,MichaelisMenten,homoskedastic,0.02,Conformal,0.86,0.011654139360660398,0.004028177340623534,0.0032127149819638793,0.9995680018002923
MichaelisMenten_homoskedastic_noise05,MichaelisMenten,homoskedastic,0.05,Nlinfit,0.868,0.03017218525647883,0.010177745231077708,0.008224776745082424,0.9972553501644668
MichaelisMenten_homoskedastic_noise05,MichaelisMenten,homoskedastic,0.05,Conformal,0.992,0.052616362796625404,0.010375793719038294,0.008393624796298673,0.9971474947541774
MichaelisMenten_homoskedastic_noise10,MichaelisMenten,homoskedastic,0.1,Nlinfit,0.882,0.05976314179610362,0.0198377523657213,0.015799789977742538,0.9897496895973368
MichaelisMenten_homoskedastic_noise10,MichaelisMenten,homoskedastic,0.1,Conformal,0.922,0.0709844847723613,0.020197073813076866,0.016118291263413947,0.9893749986717683
MichaelisMenten_heteroskedastic_noise01,MichaelisMenten,heteroskedastic,0.01,Nlinfit,0.936,0.02372855896685649,0.006245572893068594,0.004721182640105742,0.9989605195643554
MichaelisMenten_heteroskedastic_noise01,MichaelisMenten,heteroskedastic,0.01,Conformal,0.992,0.03551826951289216,0.006179953665998668,0.004675151987852343,0.9989822474601308
MichaelisMenten_heteroskedastic_noise02,MichaelisMenten,heteroskedastic,0.02,Nlinfit,0.93,0.04488368635843915,0.011976733803637394,0.009378028153708876,0.9962102118273234
MichaelisMenten_heteroskedastic_noise02,MichaelisMenten,heteroskedastic,0.02,Conformal,0.938,0.045392044256670205,0.012006317841366193,0.009404080990859931,0.9961914661976788
MichaelisMenten_heteroskedastic_noise05,MichaelisMenten,heteroskedastic,0.05,Nlinfit,0.934,0.11002573841206133,0.029869984241705075,0.023197664874335576,0.9767194845003521
MichaelisMenten_heteroskedastic_noise05,MichaelisMenten,heteroskedastic,0.05,Conformal,0.96,0.1231971488306216,0.028014152767755013,0.021578314277570322,0.9795224690529702
MichaelisMenten_heteroskedastic_noise10,MichaelisMenten,heteroskedastic,0.1,Nlinfit,0.982,0.2800851710127241,0.0590980775619377,0.045060032634565754,0.9155736139994567
MichaelisMenten_heteroskedastic_noise10,MichaelisMenten,heteroskedastic,0.1,Conformal,1.0,0.5238987833607148,0.059091480032337565,0.045717408667502867,0.9155924631570755
Gaussian_homoskedastic_noise01,Gaussian,homoskedastic,0.01,Nlinfit,0.842,0.010228446979116804,0.0035838309783228035,0.002816448382679859,0.9998970715791733
Gaussian_homoskedastic_noise01,Gaussian,homoskedastic,0.01,Conformal,0.83,0.00997549862884537,0.003600922776069579,0.0028289650199414674,0.9998960874776492
Gaussian_homoskedastic_noise02,Gaussian,homoskedastic,0.02,Nlinfit,0.716,0.014539549593994254,0.007167952704254897,0.005570934445017055,0.999588929702792
Gaussian_homoskedastic_noise02,Gaussian,homoskedastic,0.02,Conformal,0.65,0.012732152589352836,0.0071551602183398755,0.0055598461214476265,0.9995903956495528
Gaussian_homoskedastic_noise05,Gaussian,homoskedastic,0.05,Nlinfit,0.77,0.04370310038949295,0.01841506845059298,0.014726598591854417,0.9973015996931698
Gaussian_homoskedastic_noise05,Gaussian,homoskedastic,0.05,Conformal,0.398,0.01848627130781601,0.018427732378390932,0.014720613848538542,0.9972978870708895
Gaussian_homoskedastic_noise10,Gaussian,homoskedastic,0.1,Nlinfit,0.708,0.07931560244131523,0.03690950266215375,0.029636075251350077,0.9893177017149957
Gaussian_homoskedastic_noise10,Gaussian,homoskedastic,0.1,Conformal,0.438,0.04611012391625502,0.036448293414275114,0.02929750943926769,0.9895829988720892
Gaussian_heteroskedastic_noise01,Gaussian,heteroskedastic,0.01,Nlinfit,0.864,0.013458102674656287,0.005295296424246585,0.0030071008606493547,0.9997758844695059
Gaussian_heteroskedastic_noise01,Gaussian,heteroskedastic,0.01,Conformal,0.584,0.003751345774303584,0.005255432623481265,0.0030022096114194533,0.999779246120118
Gaussian_heteroskedastic_noise02,Gaussian,heteroskedastic,0.02,Nlinfit,0.888,0.0316329477477582,0.011312670012241904,0.006404337916766692,0.9989744340612698
Gaussian_heteroskedastic_noise02,Gaussian,heteroskedastic,0.02,Conformal,0.546,0.006140849248836951,0.011366602917588838,0.006424478384131604,0.9989646320252487
Gaussian_heteroskedastic_noise05,Gaussian,heteroskedastic,0.05,Nlinfit,0.806,0.06122656682887289,0.028617611031160978,0.01733388712697673,0.9934939307662686
Gaussian_heteroskedastic_noise05,Gaussian,heteroskedastic,0.05,Conformal,0.642,0.030002139727030065,0.03010925835031856,0.01852780761124931,0.9927980177981958
Gaussian_heteroskedastic_noise10,Gaussian,heteroskedastic,0.1,Nlinfit,0.836,0.12759837357386164,0.05836183658436804,0.03469265829000217,0.9735515940446323
Gaussian_heteroskedastic_noise10,Gaussian,heteroskedastic,0.1,Conformal,0.694,0.08026778177160258,0.06324742744242123,0.03807628135727128,0.9689381489507484
